-- Merging decision tree log ---
application
INJECTED from C:\Users\moham\OneDrive\Desktop\Projects\socialapp\android\app\src\main\AndroidManifest.xml:9:5-71:19
MERGED from [:image_picker_android] C:\Users\moham\AppData\Local\Pub\Cache\hosted\pub.dev\image_picker_android-0.8.12+7\android\build\intermediates\merged_manifest\debug\AndroidManifest.xml:10:5-34:19
MERGED from [:image_picker_android] C:\Users\moham\AppData\Local\Pub\Cache\hosted\pub.dev\image_picker_android-0.8.12+7\android\build\intermediates\merged_manifest\debug\AndroidManifest.xml:10:5-34:19
MERGED from [:google_mobile_ads] C:\Users\moham\AppData\Local\Pub\Cache\hosted\pub.dev\google_mobile_ads-5.1.0\android\build\intermediates\merged_manifest\debug\AndroidManifest.xml:11:5-15:19
MERGED from [:google_mobile_ads] C:\Users\moham\AppData\Local\Pub\Cache\hosted\pub.dev\google_mobile_ads-5.1.0\android\build\intermediates\merged_manifest\debug\AndroidManifest.xml:11:5-15:19
MERGED from [:location] C:\Users\moham\AppData\Local\Pub\Cache\hosted\pub.dev\location-6.0.2\android\build\intermediates\merged_manifest\debug\AndroidManifest.xml:12:5-18:19
MERGED from [:location] C:\Users\moham\AppData\Local\Pub\Cache\hosted\pub.dev\location-6.0.2\android\build\intermediates\merged_manifest\debug\AndroidManifest.xml:12:5-18:19
MERGED from [:url_launcher_android] C:\Users\moham\AppData\Local\Pub\Cache\hosted\pub.dev\url_launcher_android-6.3.5\android\build\intermediates\merged_manifest\debug\AndroidManifest.xml:9:5-14:19
MERGED from [:url_launcher_android] C:\Users\moham\AppData\Local\Pub\Cache\hosted\pub.dev\url_launcher_android-6.3.5\android\build\intermediates\merged_manifest\debug\AndroidManifest.xml:9:5-14:19
MERGED from [com.google.android.gms:play-services-location:21.2.0] C:\Users\moham\.gradle\caches\transforms-3\81f393d12a42a895760e4a73aaf29cce\transformed\jetified-play-services-location-21.2.0\AndroidManifest.xml:7:5-20
MERGED from [com.google.android.gms:play-services-location:21.2.0] C:\Users\moham\.gradle\caches\transforms-3\81f393d12a42a895760e4a73aaf29cce\transformed\jetified-play-services-location-21.2.0\AndroidManifest.xml:7:5-20
MERGED from [com.github.canardoux:flutter_sound_core:9.8.1] C:\Users\moham\.gradle\caches\transforms-3\0f769e1b434db474e694b77b63a1746a\transformed\jetified-flutter_sound_core-9.8.1\AndroidManifest.xml:15:5-16:19
MERGED from [com.github.canardoux:flutter_sound_core:9.8.1] C:\Users\moham\.gradle\caches\transforms-3\0f769e1b434db474e694b77b63a1746a\transformed\jetified-flutter_sound_core-9.8.1\AndroidManifest.xml:15:5-16:19
MERGED from [com.onesignal:notifications:5.1.17] C:\Users\moham\.gradle\caches\transforms-3\494f455d66f0c4d57771218c88150e94\transformed\jetified-notifications-5.1.17\AndroidManifest.xml:48:5-112:19
MERGED from [com.onesignal:notifications:5.1.17] C:\Users\moham\.gradle\caches\transforms-3\494f455d66f0c4d57771218c88150e94\transformed\jetified-notifications-5.1.17\AndroidManifest.xml:48:5-112:19
MERGED from [com.onesignal:core:5.1.17] C:\Users\moham\.gradle\caches\transforms-3\dda88457b747e3c954ae8336a35fd09d\transformed\jetified-core-5.1.17\AndroidManifest.xml:12:5-26:19
MERGED from [com.onesignal:core:5.1.17] C:\Users\moham\.gradle\caches\transforms-3\dda88457b747e3c954ae8336a35fd09d\transformed\jetified-core-5.1.17\AndroidManifest.xml:12:5-26:19
MERGED from [androidx.constraintlayout:constraintlayout:2.1.4] C:\Users\moham\.gradle\caches\transforms-3\a2d956da7dc581445a0307c6b6f1d019\transformed\constraintlayout-2.1.4\AndroidManifest.xml:9:5-20
MERGED from [androidx.constraintlayout:constraintlayout:2.1.4] C:\Users\moham\.gradle\caches\transforms-3\a2d956da7dc581445a0307c6b6f1d019\transformed\constraintlayout-2.1.4\AndroidManifest.xml:9:5-20
